epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,640.468,0.5892,0.80061,0.87873,0.99128,1,0.995,0.81367,0.76817,1.08837,0.86408,0.000957358,0.000957358,0.000957358
45,655.949,0.58066,0.73581,0.89084,0.99128,1,0.995,0.81367,0.76817,1.08837,0.86408,0.000940855,0.000940855,0.000940855
46,673.658,0.57327,0.77664,0.88873,0.99002,1,0.995,0.81242,0.79985,1.03848,0.87835,0.000924352,0.000924352,0.000924352
47,689.662,0.64558,0.80603,0.92147,0.98775,1,0.995,0.81792,0.83776,0.9358,0.85452,0.000907848,0.000907848,0.000907848
48,704.224,0.57518,0.78251,0.87443,0.98738,1,0.995,0.82135,0.74271,0.86655,0.8383,0.000891345,0.000891345,0.000891345
49,718.295,0.55023,0.76685,0.87684,0.98738,1,0.995,0.82135,0.74271,0.86655,0.8383,0.000874842,0.000874842,0.000874842
50,732.509,0.63328,0.7819,0.90964,0.98968,1,0.995,0.84717,0.68385,0.83519,0.81867,0.000858338,0.000858338,0.000858338
51,747.072,0.568,0.71389,0.89317,0.9906,1,0.995,0.82164,0.78535,0.90968,0.81642,0.000841835,0.000841835,0.000841835
52,762.935,0.61366,0.75931,0.89114,0.99092,1,0.995,0.77028,0.89489,0.9185,0.81871,0.000825332,0.000825332,0.000825332
53,804.69,0.60961,0.72789,0.87588,0.99092,1,0.995,0.77028,0.89489,0.9185,0.81871,0.000808828,0.000808828,0.000808828
54,845.009,0.64415,0.73103,0.88901,0.99038,1,0.995,0.78845,0.82177,0.84015,0.80524,0.000792325,0.000792325,0.000792325
55,878.571,0.55349,0.68563,0.87633,0.9902,1,0.995,0.8659,0.60586,0.74634,0.78631,0.000775822,0.000775822,0.000775822
56,914.255,0.59108,0.69834,0.87529,0.99144,1,0.995,0.86044,0.53129,0.73925,0.78763,0.000759318,0.000759318,0.000759318
57,946.715,0.58753,0.71375,0.87196,0.99144,1,0.995,0.86044,0.53129,0.73925,0.78763,0.000742815,0.000742815,0.000742815
58,977.597,0.56268,0.68716,0.87479,0.98926,1,0.995,0.85792,0.57718,0.74184,0.8028,0.000726312,0.000726312,0.000726312
59,1010.09,0.63988,0.71966,0.88234,0.98827,1,0.995,0.83092,0.74394,0.76525,0.81332,0.000709809,0.000709809,0.000709809
60,1039.97,0.58817,0.763,0.86988,0.98875,1,0.995,0.80125,0.83418,0.80797,0.81861,0.000693305,0.000693305,0.000693305
61,1070.36,0.59082,0.70235,0.8867,0.98875,1,0.995,0.80125,0.83418,0.80797,0.81861,0.000676802,0.000676802,0.000676802
62,1101.96,0.5875,0.68309,0.86634,0.98837,1,0.995,0.80362,0.8218,0.7756,0.82928,0.000660299,0.000660299,0.000660299
63,1132.05,0.52355,0.67384,0.86146,0.98832,1,0.995,0.83607,0.69777,0.73922,0.83031,0.000643795,0.000643795,0.000643795
64,1162.71,0.51027,0.66199,0.88355,0.98927,1,0.995,0.85787,0.61161,0.69884,0.82412,0.000627292,0.000627292,0.000627292
65,1194.05,0.49985,0.64884,0.87837,0.98927,1,0.995,0.85787,0.61161,0.69884,0.82412,0.000610789,0.000610789,0.000610789
66,1212.22,0.55888,0.66661,0.87469,0.99,1,0.995,0.87187,0.55088,0.66842,0.80929,0.000594286,0.000594286,0.000594286
67,1226.23,0.49932,0.64163,0.86732,0.98756,1,0.995,0.88179,0.5332,0.64368,0.79593,0.000577782,0.000577782,0.000577782
68,1239.46,0.51635,0.63917,0.88911,0.98535,1,0.995,0.88908,0.5498,0.64279,0.78928,0.000561279,0.000561279,0.000561279
69,1252.52,0.5387,0.61657,0.86994,0.98535,1,0.995,0.88908,0.5498,0.64279,0.78928,0.000544776,0.000544776,0.000544776
70,1265.5,0.54518,0.65752,0.87333,0.98414,1,0.995,0.87779,0.54975,0.63019,0.78479,0.000528272,0.000528272,0.000528272
