                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.50393,                0.61104,                0.86762,                      1,                0.99842,                  0.995,                0.86688,                0.60356,                 0.7151,                0.88507,              0.0012872,              0.0012872,              0.0012872
                     38,                0.55888,                0.63637,                0.89786,                0.99957,                      1,                  0.995,                0.85537,                0.65108,                0.72602,                0.90402,              0.0012674,              0.0012674,              0.0012674
                     39,                0.52099,                0.60819,                0.89833,                0.99731,                      1,                  0.995,                0.86602,                0.60432,                0.69477,                0.89723,              0.0012476,              0.0012476,              0.0012476
                     40,                0.56428,                0.64283,                0.89776,                0.99655,                      1,                  0.995,                0.85556,                0.58155,                0.65441,                0.86494,              0.0012278,              0.0012278,              0.0012278
                     41,                0.51966,                0.60971,                0.86625,                 0.9967,                      1,                  0.995,                0.84304,                 0.6538,                0.67966,                0.86916,               0.001208,               0.001208,               0.001208
                     42,                0.55935,                0.58904,                0.89552,                0.99661,                      1,                  0.995,                0.82378,                0.77256,                0.73572,                 0.9052,              0.0011882,              0.0011882,              0.0011882
                     43,                 0.5794,                 0.6306,                0.87832,                0.99633,                      1,                  0.995,                0.82333,                0.75921,                0.72504,                0.87947,              0.0011684,              0.0011684,              0.0011684
                     44,                0.54981,                0.62863,                 0.8886,                0.99658,                      1,                  0.995,                0.88925,                0.56543,                0.66565,                0.81477,              0.0011486,              0.0011486,              0.0011486
                     45,                0.52468,                0.61267,                 0.8929,                 0.9965,                      1,                  0.995,                0.88088,                0.52879,                0.63423,                0.81049,              0.0011288,              0.0011288,              0.0011288
                     46,                0.53756,                0.58857,                0.90423,                 0.9963,                      1,                  0.995,                0.91705,                0.56861,                 0.6564,                0.82351,               0.001109,               0.001109,               0.001109
                     47,                0.48052,                 0.5546,                 0.8784,                0.99413,                      1,                  0.995,                0.89198,                0.54149,                0.66904,                0.82906,              0.0010892,              0.0010892,              0.0010892
                     48,                0.52271,                0.57901,                 0.8922,                0.99515,                      1,                  0.995,                0.89295,                0.52729,                0.63342,                0.78272,              0.0010694,              0.0010694,              0.0010694
                     49,                0.50529,                0.56393,                0.88187,                0.99625,                      1,                  0.995,                0.90488,                0.53724,                0.58896,                0.75112,              0.0010496,              0.0010496,              0.0010496
                     50,                0.52065,                0.56132,                0.87541,                0.99684,                      1,                  0.995,                0.90765,                 0.5605,                 0.5988,                0.74587,              0.0010298,              0.0010298,              0.0010298
                     51,                0.54228,                0.56068,                 0.8873,                0.99701,                      1,                  0.995,                0.92288,                0.50511,                0.55677,                0.75523,                0.00101,                0.00101,                0.00101
                     52,                0.57686,                0.57452,                0.88912,                0.99721,                      1,                  0.995,                0.91897,                 0.5037,                0.54083,                0.76798,              0.0009902,              0.0009902,              0.0009902
                     53,                0.56357,                0.57226,                0.90328,                0.99643,                      1,                  0.995,                0.90755,                0.56379,                0.58354,                0.79028,              0.0009704,              0.0009704,              0.0009704
                     54,                0.57325,                0.57385,                0.91108,                 0.9958,                      1,                  0.995,                0.93895,                0.54414,                0.61722,                0.80279,              0.0009506,              0.0009506,              0.0009506
                     55,                0.48265,                 0.5485,                0.86665,                0.99585,                      1,                  0.995,                0.90754,                0.58715,                0.60751,                0.80605,              0.0009308,              0.0009308,              0.0009308
                     56,                0.53826,                0.57335,                 0.9103,                0.99586,                      1,                  0.995,                0.90213,                0.56501,                0.61525,                0.80179,               0.000911,               0.000911,               0.000911
                     57,                0.48953,                0.53143,                0.87055,                0.99556,                      1,                  0.995,                0.91335,                0.54176,                0.61605,                 0.8177,              0.0008912,              0.0008912,              0.0008912
                     58,                0.51447,                0.54284,                0.89037,                0.99565,                      1,                  0.995,                0.94226,                0.53507,                0.61324,                0.77805,              0.0008714,              0.0008714,              0.0008714
                     59,                0.49382,                0.53265,                0.87926,                0.99592,                      1,                  0.995,                 0.9284,                0.52049,                0.61486,                0.75372,              0.0008516,              0.0008516,              0.0008516
                     60,                0.55059,                0.53666,                0.91665,                0.99646,                      1,                  0.995,                0.94731,                0.49481,                0.57701,                 0.7445,              0.0008318,              0.0008318,              0.0008318
                     61,                0.47638,                0.54226,                0.89017,                0.99716,                      1,                  0.995,                0.91764,                0.48203,                0.55761,                0.74573,               0.000812,               0.000812,               0.000812
                     62,                0.51959,                0.51582,                0.87908,                0.99676,                      1,                  0.995,                0.90295,                0.47699,                 0.5422,                0.76688,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.4795,                0.54521,                 0.8702,                0.99679,                      1,                  0.995,                0.91148,                0.46841,                0.50352,                0.77144,              0.0007724,              0.0007724,              0.0007724
                     64,                0.48076,                0.50908,                0.89056,                0.99703,                      1,                  0.995,                0.92814,                0.45707,                 0.4831,                0.76883,              0.0007526,              0.0007526,              0.0007526
                     65,                0.49156,                0.49587,                0.89902,                 0.9971,                      1,                  0.995,                 0.9327,                0.46416,                0.44872,                0.75797,              0.0007328,              0.0007328,              0.0007328
                     66,                0.46499,                0.49527,                0.88897,                0.99721,                      1,                  0.995,                0.93448,                0.40597,                0.44734,                0.72788,               0.000713,               0.000713,               0.000713
                     67,                0.44309,                0.47957,                0.87169,                0.99702,                      1,                  0.995,                 0.9555,                0.40246,                0.45282,                 0.7258,              0.0006932,              0.0006932,              0.0006932
                     68,                0.48532,                0.48166,                0.89245,                0.99692,                      1,                  0.995,                0.96723,                0.37395,                0.44341,                0.72063,              0.0006734,              0.0006734,              0.0006734
                     69,                0.44825,                0.47134,                 0.8756,                0.99677,                      1,                  0.995,                0.97249,                0.33914,                0.41407,                0.71954,              0.0006536,              0.0006536,              0.0006536
                     70,                0.42459,                  0.459,                0.86303,                0.99682,                      1,                  0.995,                 0.9667,                 0.3452,                0.40866,                0.72449,              0.0006338,              0.0006338,              0.0006338
                     71,                0.43105,                0.45999,                0.87531,                0.99674,                      1,                  0.995,                0.94273,                0.38452,                 0.4495,                0.73221,               0.000614,               0.000614,               0.000614
                     72,                 0.4444,                 0.4579,                0.87212,                 0.9967,                      1,                  0.995,                0.93775,                0.39909,                0.47459,                0.73245,              0.0005942,              0.0005942,              0.0005942
                     73,                0.41216,                0.44662,                0.85086,                0.99682,                      1,                  0.995,                0.95675,                0.38415,                0.47223,                0.73586,              0.0005744,              0.0005744,              0.0005744
                     74,                0.46274,                0.45534,                0.90397,                0.99697,                      1,                  0.995,                0.95744,                0.38433,                 0.4784,                 0.7442,              0.0005546,              0.0005546,              0.0005546
                     75,                0.42026,                0.44169,                0.86812,                0.99745,                      1,                  0.995,                0.97714,                0.38042,                0.45741,                0.75109,              0.0005348,              0.0005348,              0.0005348
                     76,                0.41001,                0.42687,                0.85723,                0.99728,                      1,                  0.995,                0.94618,                0.42202,                0.45639,                0.76052,               0.000515,               0.000515,               0.000515
                     77,                0.40225,                0.42095,                 0.8548,                0.99719,                      1,                  0.995,                0.94204,                0.42215,                0.42809,                0.75531,              0.0004952,              0.0004952,              0.0004952
                     78,                0.46358,                0.44837,                0.85891,                0.99716,                      1,                  0.995,                0.91587,                0.44976,                0.42189,                0.74191,              0.0004754,              0.0004754,              0.0004754
                     79,                0.41256,                0.43542,                0.88164,                0.99711,                      1,                  0.995,                0.94241,                0.43024,                0.40742,                0.73365,              0.0004556,              0.0004556,              0.0004556
                     80,                0.42888,                0.43588,                0.87823,                  0.997,                      1,                  0.995,                0.96304,                 0.3846,                 0.4033,                0.72966,              0.0004358,              0.0004358,              0.0004358
                     81,                0.40938,                0.42542,                0.87373,                0.99687,                      1,                  0.995,                0.97006,                0.38944,                0.39847,                0.72804,               0.000416,               0.000416,               0.000416
                     82,                0.42589,                0.43719,                 0.8604,                0.99689,                      1,                  0.995,                0.96779,                0.40286,                0.38109,                0.72694,              0.0003962,              0.0003962,              0.0003962
                     83,                0.41414,                0.40772,                0.85381,                  0.997,                      1,                  0.995,                0.95738,                0.40487,                0.36496,                0.72645,              0.0003764,              0.0003764,              0.0003764
                     84,                0.39057,                0.39784,                0.83173,                0.99703,                      1,                  0.995,                0.95782,                0.38921,                0.36285,                0.72199,              0.0003566,              0.0003566,              0.0003566
                     85,                0.41773,                0.41399,                0.86259,                0.99723,                      1,                  0.995,                0.96867,                0.36145,                0.36265,                0.71848,              0.0003368,              0.0003368,              0.0003368
                     86,                0.40891,                0.42265,                0.83763,                0.99748,                      1,                  0.995,                   0.98,                 0.3443,                0.35902,                0.71601,               0.000317,               0.000317,               0.000317
                     87,                0.41096,                0.41781,                0.86079,                0.99737,                      1,                  0.995,                0.98429,                0.33245,                  0.356,                0.71567,              0.0002972,              0.0002972,              0.0002972
                     88,                0.41593,                0.42296,                0.86541,                 0.9975,                      1,                  0.995,                 0.9805,                0.32459,                0.34628,                0.71448,              0.0002774,              0.0002774,              0.0002774
                     89,                0.38456,                0.40579,                0.87358,                0.99747,                      1,                  0.995,                0.98865,                0.32981,                0.35434,                0.71427,              0.0002576,              0.0002576,              0.0002576
                     90,                0.38291,                0.39558,                0.84465,                0.99791,                      1,                  0.995,                0.98304,                 0.3407,                0.34676,                0.71426,              0.0002378,              0.0002378,              0.0002378
                     91,                0.39256,                0.56561,                0.80804,                0.99732,                      1,                  0.995,                0.97169,                0.34331,                0.34841,                 0.7108,               0.000218,               0.000218,               0.000218
                     92,                0.36908,                 0.5118,                0.79756,                0.99713,                      1,                  0.995,                0.96434,                0.34225,                0.36133,                0.70687,              0.0001982,              0.0001982,              0.0001982
                     93,                0.35124,                0.50497,                0.80499,                0.99706,                      1,                  0.995,                0.94642,                0.34185,                0.38921,                0.70343,              0.0001784,              0.0001784,              0.0001784
                     94,                0.38095,                0.47051,                0.79962,                0.99719,                      1,                  0.995,                0.96121,                  0.334,                 0.4075,                0.70276,              0.0001586,              0.0001586,              0.0001586
                     95,                0.36824,                0.48893,                0.82147,                0.99722,                      1,                  0.995,                0.95662,                0.33143,                0.41245,                0.70478,              0.0001388,              0.0001388,              0.0001388
                     96,                0.35525,                0.47584,                0.81993,                0.99723,                      1,                  0.995,                 0.9585,                0.34744,                0.41651,                0.70915,               0.000119,               0.000119,               0.000119
                     97,                0.36083,                0.48092,                0.79027,                 0.9972,                      1,                  0.995,                0.95583,                0.35883,                0.41174,                 0.7136,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.36593,                0.47202,                0.81013,                0.99708,                      1,                  0.995,                0.95709,                0.36563,                0.40391,                 0.7156,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.36683,                0.47246,                0.81349,                0.99704,                      1,                  0.995,                0.96598,                0.36658,                0.39317,                0.71542,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.35952,                0.46177,                0.82044,                0.99694,                      1,                  0.995,                0.96598,                 0.3635,                0.38225,                0.71419,               3.98e-05,               3.98e-05,               3.98e-05
